Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Goals,"Shots per
game",Avg Minutes Played
Sergio Moreno,6.07,60,Forward,0,0,0.0,0,0,1.0,
Bebé,6.02,74,"AM(LR), FW",1,0,0.0,0,0,1.5,62.0
Victor Mollejo,6.02,59,Forward,0,0,0.5,0,0,0.5,
Gorka Guruzeta,6.01,67,Forward,0,0,0.5,0,0,0.2,
Joaquín Muñoz,6,63,Forward,0,0,1.0,0,0,0.0,
Álex Blanco,5.99,62,Forward,0,0,0.0,0,0,0.0,
Martín Merquelanz,5.99,68,Forward,0,0,0.0,0,0,0.0,
Sergi Guardiola,5.99,75,FW,0,0,0.0,0,0,0.7,
Emmanuel Apeh,5.98,66,Forward,0,0,0.0,0,0,0.0,
Franco Di Santo,5.91,75,"AM(CLR), FW",1,0,1.3,0,0,0.0,170.0
Neymar,8.26,92,"AM(CLR), FW",16,7,0.5,7,15,3.2,90.25
Kylian Mbappé,8,88,"AM(LR), FW",24,7,0.1,9,33,4.3,97.66666666666667
Nicolas Pépé,7.62,76,"AM(R), FW",37,11,1.2,13,22,3.1,90.05405405405405
Ángel Di María,7.52,79,"M(CLR), FW",28,11,0.0,2,12,3.2,83.53571428571429
Edinson Cavani,7.44,89,"AM(LR), FW",20,5,0.2,2,18,2.5,83.8
Hatem Ben Arfa,7.35,79,"M(CR), FW",23,2,0.2,5,7,2.1,88.56521739130434
Memphis Depay,7.34,84,"AM(CL), FW",29,10,0.3,3,10,3.1,94.37931034482759
Nabil Fekir,7.31,85,"AM(CR), FW",24,7,0.5,5,9,3.1,82.95833333333333
Andy Delort,7.27,76,"AM(R), FW",36,7,3.7,3,14,3.3,87.0
"Allan Saint0,00Maximin",7.21,79,"AM(CLR), FW",34,3,0.9,5,6,2.2,85.70588235294117
Florian Thauvin,7.19,84,"AM(CLR), FW",30,8,0.6,5,16,3.1,87.5
"Max0,00Alain Gradel",7.14,78,"M(LR), FW",36,5,1.3,3,11,3.3,90.0
Lucas Ocampos,7.14,77,"M(CLR), FW",31,7,1.1,1,4,1.8,87.58064516129032
Rémy Cabella,7.13,78,"M(CLR), FW",34,4,0.5,4,8,2.4,88.23529411764706
Loïc Mbe Soh,7.07,88,"Forward, Forward",2,0,3.5,0,0,0.5,90.0
Gaetan Laborde,7.04,76,"AM(C), FW",35,4,2.9,3,11,2.4,83.31428571428572
Renaud Ripart,7.03,70,"D(R), M(L), FW",34,4,2.6,3,8,1.8,88.5
Jonathan Bamba,7.02,73,"AM(LR), FW",35,3,0.7,3,13,1.8,86.02857142857142
Emiliano Sala,7,78,FW,16,2,2.3,2,12,1.9,86.0625
Marcus Thuram,7,72,"AM(L), FW",32,1,3.5,3,9,1.9,80.71875
Ismaila Sarr,6.99,76,"AM(LR), FW",32,6,0.7,3,8,1.5,87.34375
Moussa Dembele,6.95,76,FW,21,4,1.5,1,15,2.7,96.04761904761905
Bertrand Traoré,6.93,78,"AM(R), FW",24,2,0.7,3,7,1.9,88.54166666666667
Ludovic Ajorque,6.93,70,FW,18,1,4.2,5,9,1.8,85.33333333333333
MBaye Niang,6.88,76,"AM(LR), FW",19,4,1.8,1,11,2.2,94.42105263157895
"Jeff Reine0,00Adélaïde",6.87,70,"AM(CR), FW",29,3,0.5,2,3,1.1,88.48275862068965
Mario Balotelli,6.86,83,FW,12,0,1.4,2,8,2.9,78.33333333333333
Radamel Falcao,6.85,84,FW,29,2,2.8,3,15,2.8,88.44827586206897
Júlio Tavares,6.82,75,"AM(LR), FW",31,4,6.6,1,5,1.7,90.45161290322581
Lebo Mothiba,6.81,72,FW,3,0,0.7,0,1,0.3,85.0
Nuno da Costa,6.8,72,"AM(R), FW",22,5,1.6,1,8,1.4,93.4090909090909
Valère Germain,6.8,77,"AM(L), FW",23,2,2.8,3,8,1.5,94.34782608695652
Robert Beric,6.74,61,"FW, FW",12,1,1.3,1,9,1.6,97.66666666666667
Rafael Leão,6.73,72,FW,16,3,1.2,1,8,1.5,80.9375
Kalifa Coulibaly,6.72,70,FW,19,2,4.6,2,8,1.8,92.15789473684211
Romain Hamouma,6.72,76,"M(CLR), FW",19,4,0.9,2,4,1.3,83.94736842105263
Maxwel Cornet,6.71,75,"AM(LR), FW",12,5,0.7,2,7,1.7,106.33333333333333
Mathieu Dossevi,6.71,77,"M(CR), FW",30,2,0.4,2,4,0.7,82.73333333333333
Martin Terrier,6.7,73,"AM(L), FW",16,0,0.7,2,9,1.1,92.5625
Saman Ghoddos,6.69,74,"AM(L), FW",20,4,0.6,2,4,1.6,91.65
Yann Karamoh,6.65,75,"AM(R), FW",13,1,0.0,0,3,1.6,94.15384615384616
Benjamin Jeannot,6.64,72,"AM(R), FW",19,0,3.0,0,2,2.1,76.21052631578948
"Kévin Monnet0,00Paquet",6.64,73,"M(CLR), FW",16,1,1.2,1,1,0.9,92.6875
François Kamano,6.64,77,"AM(CLR), FW",29,1,0.2,2,10,2.2,88.6896551724138
Moussa Doumbia,6.64,71,"AM(CL), FW",18,1,0.6,2,3,1.0,88.88888888888889
Adrien Hunou,6.62,73,"AM(CLR), FW",14,1,0.6,0,7,1.4,88.64285714285714
Rachid Alioui,6.61,70,FW,11,0,1.6,0,5,1.9,112.63636363636364
Benjamin Corgnet,6.6,72,"M(CLR), FW",6,2,1.3,0,1,1.1,111.16666666666667
Clement Depres,6.6,66,Forward,4,0,3.1,1,4,1.6,108.5
Andreas Cornelius,6.6,75,FW,6,1,3.7,0,3,1.1,130.5
Nicolas de Preville,6.59,69,"AM(CLR), FW",14,2,1.3,0,3,1.4,90.71428571428571
Casimir Ninga,6.58,73,"AM(LR), FW",28,3,0.9,1,6,1.6,88.42857142857143
Moussa Konaté,6.57,76,"AM(R), FW",21,2,1.9,1,7,1.8,89.61904761904762
Juan Ferney Otero,6.57,72,"AM(R), FW",24,2,1.3,0,2,1.6,90.83333333333333
Stéphane Bahoken,6.57,72,FW,31,1,1.2,0,11,2.1,80.41935483870968
Boulaye Dia,6.56,61,FW,8,0,1.1,0,3,1.1,93.25
Lebo Mothiba,6.55,72,FW,18,2,1.2,1,9,1.1,98.27777777777777
Jimmy Briand,6.55,76,"M(LR), FW",28,3,1.6,1,7,1.5,89.32142857142857
Yannis Salibur,6.54,76,"AM(CLR), FW",9,3,0.4,0,1,1.6,98.11111111111111
Myziane Maolida,6.54,71,"AM(L), FW",10,3,0.6,0,0,1.3,95.6
Claudio Beauvue,6.54,75,"AM(CLR), FW",16,0,2.8,1,3,1.6,93.625
Majeed Waris,6.54,74,"AM(LR), FW",25,3,0.4,0,5,1.2,90.24
Pablo Chavarria,6.53,76,"AM(R), FW",23,3,2.6,0,5,1.4,86.0
Yaya Sanogo,6.53,73,FW,13,0,3.1,1,3,2.2,95.61538461538461
Cesc Fàbregas,6.53,83,"M(CL), FW",12,0,0.5,0,1,0.8,80.75
Baptiste Guillaume,6.52,70,FW,15,1,3.7,0,2,0.7,79.26666666666667
Wesley Said,6.51,73,"AM(CLR), FW",25,1,0.6,1,4,1.7,90.44
Enzo Crivelli,6.5,74,FW,28,1,3.5,0,6,0.6,81.17857142857143
Jordan Siebatcheu,6.5,70,FW,7,1,1.3,1,3,1.3,86.85714285714286
Timothy Weah,6.5,69,"Forward, Forward",1,0,0.5,0,1,1.0,54.0
Anthony Limbombe,6.49,75,"AM(L), FW",12,1,0.4,0,1,1.4,102.83333333333333
Lois Diony,6.49,73,"AM(L), FW",19,1,1.0,0,5,1.3,84.10526315789474
Stevan Jovetic,6.48,67,"AM(C), FW",4,0,0.6,0,2,2.5,99.5
"Suk Hyun0,00Jun",6.47,74,"FW, FW",7,0,3.3,0,3,1.0,112.14285714285714
Rui Fonte,6.47,72,"M(R), FW",5,0,2.1,0,1,0.7,124.0
Ronny Rodelin,6.46,75,"AM(CLR), FW",8,0,2.8,0,0,1.6,98.25
Malik Tchokounte,6.46,68,FW,16,2,3.2,0,0,0.8,91.75
Ignatius Ganago,6.45,69,FW,9,0,1.3,0,2,1.4,114.88888888888889
