Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Tackles,Clearances per game,Dribbled past per game,Goals,"Shots per
game",Dribbles per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Avg Minutes Played
Vincenzo Grifo,6.64,77,AM(CL),3,2,0.3,0,0.9,0.7,0.7,1,2.1,0.4,1.4,22.1,75.5,0.3,111.0
Denis Zakaria,6.63,77,DMC,21,0,0.5,0,1.3,0.6,0.6,4,1.2,0.9,0.5,24.0,83.2,0.1,93.28571428571429
Daniel Brosinski,6.63,76,"D(LR), M(LR)",26,5,0.9,1,1.0,1.9,0.6,3,0.7,0.2,1.5,36.2,74.2,1.3,84.84615384615384
Roland Sallai,6.62,72,AM(L),5,0,1.3,0,1.2,0.7,0.8,2,1.4,0.5,0.5,13.4,78.4,0.3,105.4
Eduard Löwen,6.62,70,"D(C), M(C)",17,2,0.9,1,1.4,0.8,1.0,3,1.7,1.3,0.7,31.7,75.3,0.2,95.41176470588235
Ibrahima Traoré,6.62,75,AM(LR),5,2,0.1,1,0.8,0.1,0.5,0,0.9,1.3,0.9,14.7,80.0,0.7,109.8
Josip Drmic,6.62,75,"AM(LR), FW",2,0,0.8,0,0.4,0.0,0.2,2,1.4,0.4,0.2,11.8,89.8,0.4,109.5
Arjen Robben,6.61,84,"M(CLR), FW",7,0,0.5,1,0.3,0.0,0.1,4,1.8,0.5,1.3,24.3,79.4,0.4,80.57142857142857
Marco Russ,6.61,73,"D(C), DMC",3,0,3.2,0,1.4,1.6,0.4,0,0.2,0.0,0.2,22.0,71.8,0.0,126.0
Konstantinos Stafylidis,6.61,75,"D(L), DMC, M(L)",11,0,0.6,0,1.8,2.2,0.8,0,0.8,0.3,0.8,36.8,80.3,0.6,83.81818181818181
Daniel Baier,6.61,79,M(C),33,1,0.9,0,1.9,1.5,1.3,0,0.8,0.5,0.7,47.7,76.4,0.1,85.57575757575758
Reiss Nelson,6.61,70,M(R),5,0,0.0,1,0.7,0.1,0.5,7,0.9,0.7,0.7,9.8,86.2,0.1,126.0
Robin Koch,6.61,72,"D(C), DMC",21,0,2.7,0,1.0,3.1,0.7,1,0.5,0.3,0.2,36.8,82.4,0.0,90.42857142857143
"Ja0,00Cheol Koo",6.61,76,"M(CLR), M(CLR)",19,1,1.0,0,1.4,0.7,0.7,2,1.0,0.5,0.9,24.0,80.8,0.0,86.52631578947368
Omar Mascarell,6.6,78,DMC,11,2,0.9,0,1.4,0.5,1.0,0,0.4,0.4,0.4,33.7,84.1,0.0,90.27272727272727
Hanno Behrens,6.6,75,M(C),30,1,3.5,1,1.5,1.5,0.9,4,1.3,0.3,0.7,30.2,67.6,0.0,88.1
Milos Veljkovic,6.6,76,"D(C), DMC",21,0,2.2,1,1.6,4.6,0.7,1,0.4,0.0,0.2,53.7,84.7,0.1,89.42857142857143
Leonardo Bittencourt,6.6,79,AM(CLR),13,3,0.3,0,1.8,0.3,1.1,1,1.1,0.5,1.0,20.2,80.2,0.5,82.23076923076923
Kenan Karaman,6.59,72,"AM(CLR), FW",9,1,1.4,1,0.6,0.4,0.2,3,1.0,0.9,0.7,13.0,71.0,0.2,101.66666666666667
Jacob Bruun Larsen,6.59,74,AM(L),16,2,0.6,0,0.6,0.5,0.4,2,1.1,0.7,0.8,21.3,78.1,0.3,79.4375
Christian Günter,6.59,75,"D(L), M(L)",32,5,0.3,0,1.2,1.2,0.7,0,0.9,1.2,1.5,30.2,76.6,1.6,90.0
Josip Brekalo,6.59,76,AM(CLR),15,3,0.2,0,0.6,0.2,0.5,3,1.0,1.2,0.8,22.0,73.0,0.4,94.4
Javairô Dilrosun,6.59,70,AM(L),7,3,0.3,0,0.8,0.4,0.2,2,0.6,0.5,0.7,12.2,81.6,0.3,127.42857142857143
Pascal Stenzel,6.59,72,"D(R), M(R)",16,2,1.1,1,2.0,2.1,0.9,0,1.2,0.3,0.8,35.0,81.9,0.5,90.8125
