Name,Rating,Fifa Ability Overall,Position,Apps,Assists,Aerials Won per game,Man of the match,Tackles,Clearances per game,Dribbled past per game,Goals,"Shots per
game",Dribbles per game,Key passes per game,Passes per game,Pass success percentage,Crosses,Avg Minutes Played
Dani Torres,6.06,77,DMC,1,0,0.5,0,1.0,0.0,1.5,0,0.0,0.0,0.0,7.5,86.7,0.0,71.0
Cheick Doukouré,6.04,73,DMC,3,0,0.4,0,1.4,0.3,1.2,0,0.1,0.2,0.1,12.1,74.3,0.0,105.0
Miguel Marí,6.03,64,Midfielder,0,0,0.5,0,0.0,1.0,1.0,0,0.5,0.0,0.0,20.0,90.0,0.0,
Bebé,6.02,74,"AM(LR), FW",1,0,0.0,0,0.0,0.0,0.0,0,1.5,0.0,0.5,11.5,87.0,0.5,62.0
Iván Alejo,5.96,76,AM(R),2,0,0.8,0,0.5,0.8,1.0,0,0.3,1.0,0.3,8.0,46.9,0.3,73.5
Franco Di Santo,5.91,75,"AM(CLR), FW",1,0,1.3,0,0.3,0.3,0.2,0,0.0,0.2,0.0,6.0,63.9,0.0,170.0
Neymar,8.26,92,"AM(CLR), FW",16,7,0.5,7,0.8,0.1,1.0,15,3.2,4.4,2.5,57.8,81.1,1.0,90.25
Kylian Mbappé,8,88,"AM(LR), FW",24,7,0.1,9,0.3,0.1,0.2,33,4.3,2.2,1.6,26.9,79.4,0.2,97.66666666666667
Téji Savanier,7.89,72,DMC,32,14,1.6,8,3.0,1.5,2.3,6,2.1,2.5,2.7,50.4,71.4,2.3,89.5625
Nicolas Pépé,7.62,76,"AM(R), FW",37,11,1.2,13,0.7,0.2,0.7,22,3.1,2.7,1.8,31.6,79.1,0.4,90.05405405405405
Ángel Di María,7.52,79,"M(CLR), FW",28,11,0.0,2,1.0,0.1,1.1,12,3.2,1.4,1.8,42.1,78.8,1.0,83.53571428571429
Youcef Atal,7.48,73,"D(R), M(R)",25,0,1.6,8,2.3,1.3,1.1,6,1.2,3.5,0.8,34.9,83.6,0.3,90.44
Edinson Cavani,7.44,89,"AM(LR), FW",20,5,0.2,2,0.5,0.7,0.5,18,2.5,0.6,0.6,16.7,76.3,0.0,83.8
Hatem Ben Arfa,7.35,79,"M(CR), FW",23,2,0.2,5,0.6,0.0,0.3,7,2.1,4.5,1.4,32.7,85.2,0.5,88.56521739130434
Memphis Depay,7.34,84,"AM(CL), FW",29,10,0.3,3,0.3,0.0,0.4,10,3.1,1.7,3.1,34.8,80.1,2.0,94.37931034482759
Nabil Fekir,7.31,85,"AM(CR), FW",24,7,0.5,5,1.8,0.1,0.9,9,3.1,1.6,1.8,34.1,85.2,1.0,82.95833333333333
Adrien Rabiot,7.31,83,"DMC, DMC",12,1,1.6,1,2.5,1.3,0.2,2,0.5,1.1,0.4,74.8,93.1,0.0,88.66666666666667
Flavien Tait,7.3,75,AM(CLR),34,7,0.3,4,1.6,0.3,1.0,5,2.4,2.3,2.1,36.4,78.8,1.4,88.08823529411765
Andy Delort,7.27,76,"AM(R), FW",36,7,3.7,3,0.9,0.2,0.8,14,3.3,1.5,1.6,29.3,63.9,0.8,87.0
Thiago Mendes,7.27,76,"D(R), M(CR)",35,5,0.7,3,2.4,1.2,0.9,0,0.9,0.8,1.8,56.7,84.8,1.4,88.05714285714286
Antoine Bernede,7.24,64,"Midfielder, Midfielder",2,0,1.5,0,6.5,0.5,2.0,0,0.5,0.0,0.5,85.0,93.5,0.0,85.0
Marquinhos,7.24,84,"D(CR), DMC",30,1,2.3,0,2.2,2.7,0.7,3,0.4,0.2,0.3,75.3,91.9,0.0,89.83333333333333
"Allan Saint0,00Maximin",7.21,79,"AM(CLR), FW",34,3,0.9,5,0.4,0.1,0.4,6,2.2,4.2,1.7,25.4,76.0,0.7,85.70588235294117
Florian Thauvin,7.19,84,"AM(CLR), FW",30,8,0.6,5,1.3,0.1,0.6,16,3.1,1.8,1.4,33.5,76.9,1.0,87.5
Benjamin André,7.18,77,"D(R), M(CLR)",28,1,4.9,1,3.4,1.6,1.7,3,0.9,0.7,0.7,49.4,79.2,0.0,89.35714285714286
"Max0,00Alain Gradel",7.14,78,"M(LR), FW",36,5,1.3,3,1.6,0.7,1.3,11,3.3,2.4,1.5,31.2,74.2,0.8,90.0
Lucas Ocampos,7.14,77,"M(CLR), FW",31,7,1.1,1,2.4,0.7,1.4,4,1.8,1.9,0.9,23.9,78.0,0.5,87.58064516129032
Ruben Aguilar,7.13,77,"D(R), M(R)",29,4,1.0,2,3.0,1.6,1.0,1,0.4,1.2,1.5,42.6,83.5,1.1,87.27586206896552
Rémy Cabella,7.13,78,"M(CLR), FW",34,4,0.5,4,2.6,0.1,1.7,8,2.4,1.6,1.7,58.1,86.5,0.5,88.23529411764706
Kenny Lala,7.11,77,"D(LR), M(R)",34,9,0.8,3,2.3,1.5,0.7,5,0.7,1.1,1.8,48.1,80.5,1.4,90.0
Valentin Rongier,7.1,78,M(C),36,5,1.0,2,2.4,0.4,1.1,4,2.0,1.0,2.4,53.2,82.7,1.1,89.66666666666667
Ferland Mendy,7.09,78,"D(L), M(L)",27,1,1.6,0,1.5,1.4,0.1,2,0.8,1.8,1.3,54.7,84.5,0.5,93.66666666666667
Hiroki Sakai,7.09,78,"D(LR), M(R)",26,4,3.1,1,2.1,2.4,0.9,1,0.2,0.4,1.0,43.2,81.6,0.3,91.26923076923077
Marco Verratti,7.07,86,"DMC, DMC",23,2,0.2,1,2.8,0.3,1.7,0,0.1,1.3,1.1,79.5,90.9,0.0,82.04347826086956
Thomas Meunier,7.07,82,"D(R), M(R)",19,3,1.5,1,2.0,1.0,0.6,3,0.9,0.4,0.9,37.5,84.5,0.5,85.0
Ibrahim Sangaré,7.06,74,DMC,27,3,1.4,3,3.6,1.7,1.1,1,1.3,1.8,0.7,54.1,79.6,0.0,91.33333333333333
Houssem Aouar,7.05,80,M(CL),35,7,0.5,3,1.7,0.5,1.2,7,1.9,1.6,1.2,55.6,86.7,0.1,87.68571428571428
Florent Mollet,7.05,76,AM(CL),31,4,0.5,3,1.1,0.1,1.2,6,2.6,0.6,2.1,39.8,87.3,2.0,83.2258064516129
Gaetan Laborde,7.04,76,"AM(C), FW",35,4,2.9,3,1.0,0.7,0.4,11,2.4,1.2,1.0,24.1,67.4,0.1,83.31428571428572
Renaud Ripart,7.03,70,"D(R), M(L), FW",34,4,2.6,3,2.0,1.9,1.2,8,1.8,0.4,0.8,25.8,73.3,0.3,88.5
Dani Alves,7.02,82,"D(R), M(CR)",19,7,0.6,0,1.8,0.3,1.1,1,1.2,0.7,1.4,63.1,85.6,0.7,85.52631578947368
Julian Draxler,7.02,83,"AM(CLR), AM(CLR)",22,7,0.6,3,1.3,0.1,0.9,3,1.0,1.4,1.3,49.5,89.8,0.4,93.0
Jonathan Bamba,7.02,73,"AM(LR), FW",35,3,0.7,3,0.8,0.2,0.7,13,1.8,0.9,1.1,30.1,79.6,0.3,86.02857142857142
Naïm Sliti,7.01,76,AM(CL),25,4,0.3,2,1.6,0.3,0.9,3,1.8,2.4,2.1,22.6,76.8,1.3,91.6
Marcus Thuram,7,72,"AM(L), FW",32,1,3.5,3,1.4,0.4,0.7,9,1.9,3.2,1.1,24.5,73.2,0.3,80.71875
Ellyes Skhiri,7,77,DMC,35,2,1.2,3,2.8,1.0,1.3,3,0.7,0.9,0.6,44.5,85.7,0.1,88.34285714285714
Tanguy Ndombele,6.99,80,DMC,31,7,0.6,1,1.9,0.3,0.9,1,0.9,1.9,1.4,57.7,89.1,0.0,86.87096774193549
Ismaila Sarr,6.99,76,"AM(LR), FW",32,6,0.7,3,1.0,0.1,0.5,8,1.5,1.8,1.1,19.8,76.5,0.3,87.34375
Thilo Kehrer,6.98,77,"D(CR), M(R)",19,2,1.9,1,2.4,2.3,0.9,1,0.5,0.1,0.2,49.5,92.7,0.1,99.78947368421052
Samuel Kalu,6.97,74,AM(R),14,2,1.0,2,1.3,0.1,0.3,3,2.0,2.2,1.4,22.1,71.8,1.2,91.42857142857143
Frederic Guilbert,6.97,75,"D(CLR), M(R)",33,2,2.4,2,2.9,3.1,1.2,1,0.3,0.9,0.7,31.6,74.2,0.4,88.39393939393939
Ole Selnaes,6.97,76,"DMC, DMC",19,5,1.2,0,2.2,1.4,1.1,0,0.6,0.6,1.1,44.8,82.5,0.5,88.10526315789474
Sanjin Prcic,6.97,74,M(C),12,1,0.8,0,1.5,0.5,0.8,2,1.2,0.9,1.5,54.2,87.5,1.1,87.16666666666667
Bouna Sarr,6.96,77,"D(R), M(CLR)",25,1,1.2,3,2.3,1.7,0.6,1,0.7,1.9,1.0,37.4,85.2,0.8,89.76
Cheikh NDoye,6.96,69,M(C),26,3,6.7,1,0.9,2.1,0.8,0,1.5,0.2,0.6,31.6,61.0,0.1,89.84615384615384
Jonas Martin,6.96,76,M(CL),23,1,0.8,2,2.0,1.7,0.7,3,0.9,0.8,1.0,65.4,88.4,0.2,89.6086956521739
Gelson Martins,6.94,82,AM(R),16,2,0.6,0,1.3,0.4,1.2,4,1.9,1.6,1.0,28.5,78.1,0.9,87.0625
Youri Tielemans,6.94,78,M(C),20,1,1.4,1,2.3,1.0,1.2,5,1.8,0.9,1.0,45.5,79.9,0.5,84.25
Kenny Tete,6.94,78,"D(R), M(R)",12,3,1.4,1,2.3,2.0,0.5,0,0.6,0.1,1.5,48.7,84.0,1.2,87.5
Xavier Chavalerin,6.94,71,DMC,36,2,0.3,1,2.9,0.9,1.2,2,0.6,0.6,1.3,39.0,80.5,0.8,90.0
Bertrand Traoré,6.93,78,"AM(R), FW",24,2,0.7,3,1.1,0.4,0.4,7,1.9,1.5,0.7,29.3,82.5,0.2,88.54166666666667
"Jacques0,00Alaixys Romao",6.92,74,"D(C), M(C)",36,3,1.8,2,3.2,1.8,1.6,0,0.4,0.7,0.3,39.7,79.1,0.1,87.91666666666667
Rony Lopes,6.91,80,AM(CLR),22,2,0.3,3,1.4,0.3,0.5,2,2.1,1.2,2.0,21.8,74.2,1.9,84.4090909090909
Wylan Cyprien,6.91,77,AM(C),27,2,0.4,0,1.4,0.5,1.0,4,1.8,0.7,2.1,64.7,87.5,1.2,87.55555555555556
Damien Le Tallec,6.91,72,"D(C), DMC",31,0,2.3,1,2.6,1.3,1.6,3,0.9,0.1,0.6,34.4,79.1,0.0,90.70967741935483
Yann MVila,6.91,79,"M(C), M(C)",37,1,1.4,0,1.9,2.1,1.2,0,0.4,0.3,0.7,61.8,86.2,0.1,88.1891891891892
Jordan Amavi,6.91,77,"D(L), M(L)",24,2,2.6,0,2.6,2.8,0.8,0,0.9,0.8,0.9,34.5,79.5,0.8,90.75
Franck Tabanou,6.9,71,"D(L), M(L)",2,0,2.5,0,2.0,6.5,0.5,0,0.0,0.0,0.0,32.5,76.9,0.0,90.0
Abdul Rahman Baba,6.9,74,"D(L), M(L)",11,1,1.9,2,2.4,3.0,0.3,1,0.5,1.2,0.4,41.3,79.7,0.4,87.72727272727273
Faycal Fajr,6.89,78,M(CLR),36,4,0.5,5,1.8,0.4,1.1,5,1.4,0.8,1.5,53.0,81.4,1.5,90.0
MBaye Niang,6.88,76,"AM(LR), FW",19,4,1.8,1,0.6,0.4,0.3,11,2.2,0.6,0.4,13.5,72.6,0.1,94.42105263157895
Issiaga Sylla,6.88,71,"D(LR), M(L)",23,0,2.4,1,2.3,2.7,1.0,2,0.7,0.7,0.7,37.5,77.9,0.4,86.73913043478261
Christopher Nkunku,6.88,76,"M(CLR), M(CLR)",13,2,0.5,2,1.0,0.3,0.4,3,1.0,1.0,0.8,27.9,91.0,0.1,88.84615384615384
Adrien Silva,6.87,79,M(C),13,0,1.4,0,3.3,1.5,2.1,0,0.6,1.0,0.4,48.7,83.2,0.2,91.0
Pierrick Capelle,6.87,75,"D(L), M(CLR)",21,3,1.2,2,2.0,1.7,1.4,3,1.1,0.7,1.0,31.0,83.9,0.7,87.85714285714286
"Jeff Reine0,00Adélaïde",6.87,70,"AM(CR), FW",29,3,0.5,2,1.1,0.1,0.7,3,1.1,2.7,1.0,31.2,84.1,0.0,88.48275862068965
Ramy Bensebaini,6.86,75,"D(CL), DMC",24,0,2.2,0,2.8,3.3,0.7,1,0.7,0.5,0.4,41.2,77.9,0.3,89.75
Morgan Sanson,6.86,80,M(CLR),27,3,0.7,0,2.1,0.2,1.7,5,1.1,1.0,0.7,39.1,82.9,0.4,89.11111111111111
"Pierre Lees0,00Melou",6.85,78,"AM(CLR), AM(CLR)",26,1,0.6,1,2.5,1.1,1.2,2,1.3,0.5,1.0,47.0,85.7,0.5,92.03846153846153
Abdoulaye Touré,6.85,76,DMC,30,1,1.5,1,1.4,0.8,1.1,3,1.6,1.2,0.7,39.8,80.4,0.2,91.66666666666667
Otávio,6.85,77,DMC,33,2,0.7,0,3.8,1.5,1.8,0,0.6,0.5,0.3,58.0,89.1,0.0,87.27272727272727
Juan Bernat,6.84,76,"D(L), M(CL)",21,2,0.6,0,1.9,1.2,1.0,1,0.2,0.7,0.8,41.6,90.8,0.4,87.52380952380952
Thomas Monconduit,6.84,76,DMC,32,1,1.5,1,2.3,2.2,1.1,0,0.5,1.0,1.0,43.9,77.9,0.1,88.15625
Enock Kwateng,6.83,68,"D(R), M(R)",22,1,1.5,0,2.2,1.6,1.2,0,0.2,0.8,0.6,32.3,70.4,0.6,92.72727272727273
Clément Grenier,6.83,77,M(CL),29,5,0.6,0,1.3,1.0,1.2,2,1.5,0.7,1.7,51.2,82.2,0.9,92.0
Andrei Girotto,6.83,71,DMC,18,0,3.0,0,2.9,2.0,1.2,2,1.0,0.1,0.3,40.0,79.3,0.1,82.11111111111111
Ibrahima Sissoko,6.82,69,DMC,30,2,1.9,1,1.9,1.2,1.0,3,0.9,1.0,0.7,38.4,80.5,0.2,88.96666666666667
Jonathan Ikoné,6.82,73,AM(CLR),34,9,0.3,0,0.7,0.1,0.6,3,1.3,2.0,1.5,24.1,73.8,0.1,82.79411764705883
Júlio Tavares,6.82,75,"AM(LR), FW",31,4,6.6,1,0.4,1.4,0.2,5,1.7,0.3,0.8,19.7,58.6,0.1,90.45161290322581
Youssef Aït Bennasser,6.82,75,DMC,12,2,0.7,0,2.5,1.3,1.2,0,0.6,0.9,0.9,56.2,86.3,0.0,89.5
Dimitri Payet,6.81,84,M(CLR),23,6,0.2,0,0.4,0.2,0.5,4,1.3,0.6,2.7,31.5,77.5,2.0,83.1304347826087
Nuno da Costa,6.8,72,"AM(R), FW",22,5,1.6,1,1.1,0.1,0.8,8,1.4,1.0,0.6,14.1,69.1,0.1,93.4090909090909
Valère Germain,6.8,77,"AM(L), FW",23,2,2.8,3,1.1,0.8,0.7,8,1.5,0.1,0.6,16.2,78.0,0.1,94.34782608695652
Boubacar Kamara,6.8,72,"D(CL), DMC",27,0,2.1,2,2.2,2.9,0.5,1,0.4,0.4,0.2,44.7,86.4,0.1,89.29629629629629
Adrien Tameze,6.8,74,M(C),34,3,1.0,0,2.0,1.5,1.4,0,0.5,1.1,0.7,50.3,89.1,0.0,86.79411764705883
Baptiste Santamaría,6.79,67,DMC,37,0,1.0,0,3.1,1.4,1.4,1,0.6,0.8,0.3,39.2,81.0,0.0,87.78378378378379
Mathieu Cafaro,6.79,68,AM(CL),24,3,0.4,2,1.7,0.2,1.3,7,2.1,0.7,1.1,17.8,68.8,1.2,87.625
Denis Bouanga,6.79,72,AM(LR),29,2,0.8,2,1.5,0.3,1.4,8,2.5,1.4,0.9,16.8,69.7,0.4,91.03448275862068
Hamari Traoré,6.77,74,"D(R), M(R)",33,2,1.1,0,1.8,2.2,1.0,0,0.9,0.8,1.0,43.6,82.5,0.5,90.0909090909091
Ambroise Oyongo,6.77,74,"D(LR), M(L)",25,0,0.5,0,1.7,1.7,0.7,2,0.5,1.1,0.9,29.1,70.7,0.7,85.64
Youssef Aït Bennasser,6.77,75,"DMC, DMC",11,0,0.5,1,1.9,0.3,1.2,0,0.5,0.8,0.5,49.5,87.6,0.2,85.27272727272727
Fouad Chafik,6.77,73,"D(LR), M(R)",21,2,0.8,0,2.1,3.0,0.6,0,0.4,0.8,0.8,33.7,74.7,0.4,88.28571428571429
Kevin Strootman,6.76,83,DMC,21,5,1.5,0,2.7,0.9,1.1,1,0.6,0.4,0.9,40.8,82.3,0.2,92.42857142857143
Benjamin Henrichs,6.75,76,"D(LR), M(R)",21,2,0.7,0,2.6,1.8,1.0,1,0.5,0.6,1.0,38.3,74.0,0.5,87.0
Anthony Gonçalves,6.75,71,M(CR),12,2,0.8,2,1.2,0.9,0.8,5,0.8,0.4,0.8,22.2,75.5,0.6,88.41666666666667
Jason Denayer,6.75,76,"D(CR), DMC",31,0,1.8,0,1.1,3.8,0.3,2,0.5,0.4,0.2,63.5,93.8,0.0,88.64516129032258
Jordan Ferri,6.74,74,M(C),21,1,1.0,1,2.2,0.4,1.5,2,0.6,1.1,1.0,42.7,82.1,0.0,89.38095238095238
Lima,6.74,75,"D(L), M(L)",28,4,1.3,1,1.6,1.7,1.1,0,0.7,0.7,1.6,39.8,73.3,1.7,89.10714285714286
Nicolas Benezet,6.74,74,AM(CLR),18,1,0.8,3,1.3,0.1,0.6,3,1.1,1.4,1.7,29.8,74.9,1.3,92.61111111111111
Valentin Rosier,6.74,74,"D(LR), M(L)",16,3,1.0,1,2.4,1.8,0.8,0,0.8,0.9,0.6,37.0,83.8,0.4,91.125
Remi Oudin,6.74,69,AM(R),32,4,0.8,2,1.4,0.8,0.7,10,2.1,0.3,0.7,20.4,60.5,0.1,82.09375
Aurelien Tchouameni,6.73,74,DMC,8,0,1.2,0,2.4,1.3,1.1,0,0.7,0.6,0.3,27.9,80.3,0.0,88.25
Sada Thioub,6.73,73,AM(R),27,5,0.5,1,0.8,0.3,0.7,3,0.9,1.9,1.0,22.5,78.4,0.5,91.92592592592592
Mehdi Abeid,6.73,72,DMC,23,0,0.7,1,2.0,0.8,1.2,3,1.4,1.2,0.8,39.8,86.5,0.2,88.1304347826087
Thomas Foket,6.73,73,"D(R), M(R)",32,0,0.9,0,2.8,2.2,0.8,0,0.1,0.3,0.4,33.1,76.6,0.3,90.0
Lass Diarra,6.72,80,"M(C), M(C)",2,0,0.3,0,0.7,1.0,0.3,0,0.0,1.3,0.3,48.7,89.7,0.0,80.5
Romain Hamouma,6.72,76,"M(CLR), FW",19,4,0.9,2,1.1,0.1,0.7,4,1.3,0.8,1.2,17.6,78.4,0.6,83.94736842105263
Luiz Gustavo,6.72,83,"D(C), M(C)",26,0,0.5,3,2.4,2.0,1.2,2,1.0,0.5,0.3,47.9,88.8,0.1,93.61538461538461
Wesley Lautoa,6.72,71,"D(C), DMC",34,0,1.5,0,2.4,3.1,1.2,0,0.4,0.4,0.1,46.5,86.5,0.0,88.97058823529412
Maxwel Cornet,6.71,75,"AM(LR), FW",12,5,0.7,2,0.5,0.3,0.4,7,1.7,0.9,0.9,15.3,77.3,0.3,106.33333333333333
Lionel Carole,6.71,72,"D(L), M(L)",20,3,1.2,0,1.1,2.0,0.2,0,0.3,0.4,1.0,35.5,79.7,0.4,86.4
Abdoulaye Bamba,6.71,72,"D(LR), M(R)",29,4,0.8,0,1.7,2.4,0.7,0,0.2,0.5,0.5,30.5,78.0,0.4,88.75862068965517
Mathieu Dossevi,6.71,77,"M(CR), FW",30,2,0.4,2,1.2,0.1,0.8,4,0.7,1.1,1.7,20.6,76.0,1.4,82.73333333333333
Maxime Lopez,6.71,75,M(C),25,3,0.2,0,1.5,0.2,1.1,1,0.4,0.4,1.5,69.3,91.3,0.8,87.52
Benjamin Bourigeaud,6.71,77,M(CLR),28,5,0.5,0,1.6,0.7,1.4,6,1.4,0.3,1.0,31.9,79.8,0.8,86.96428571428571
Youssouf Sabaly,6.71,77,"D(LR), M(R)",21,1,0.8,0,2.0,1.5,0.9,0,0.5,0.9,0.8,43.2,81.6,0.5,91.0
Adrien Thomasson,6.7,75,M(CLR),28,8,0.5,0,1.6,0.2,1.3,5,1.6,0.6,1.2,32.7,78.1,0.6,88.92857142857143
Martin Terrier,6.7,73,"AM(L), FW",16,0,0.7,2,0.7,0.3,0.4,9,1.1,0.4,0.9,15.8,84.2,0.1,92.5625
Alexis Blin,6.7,72,DMC,25,1,2.0,0,2.9,1.7,2.0,1,0.3,0.2,0.3,34.6,81.1,0.1,79.96
Dimitri Lienard,6.7,75,M(CL),15,2,0.3,0,1.5,0.8,1.1,0,1.0,0.7,0.6,32.5,83.8,1.0,86.13333333333334
Jemerson,6.69,78,"D(C), DMC",25,1,2.7,0,2.2,4.7,0.7,0,0.3,0.0,0.2,43.1,86.9,0.0,89.04
Ludovic Blas,6.69,75,M(CLR),27,6,1.3,1,1.8,0.2,0.7,1,1.2,1.7,0.6,26.6,77.2,0.1,88.11111111111111
Lucas Deaux,6.69,75,"D(C), DMC",17,1,1.8,1,2.3,0.4,1.2,3,1.0,0.3,0.7,28.5,70.4,0.2,70.41176470588235
Saman Ghoddos,6.69,74,"AM(L), FW",20,4,0.6,2,1.2,0.4,0.7,4,1.6,0.4,1.3,18.0,72.8,1.0,91.65
Anthony Caci,6.68,66,"D(C), M(L)",26,1,0.8,0,1.9,1.9,0.8,0,0.2,0.4,0.4,42.2,81.4,0.4,88.5
Angelo Fulgini,6.67,74,AM(CR),18,1,0.7,2,1.2,0.4,0.6,4,0.9,0.6,1.3,23.8,77.5,0.5,90.94444444444444
Antonin Bobichon,6.67,68,M(CL),24,2,0.6,1,1.1,0.4,1.4,7,1.2,0.6,0.9,27.5,83.3,0.5,89.79166666666667
Lukas Lerager,6.67,75,DMC,15,1,1.4,0,2.1,1.4,1.4,0,0.6,0.1,0.5,35.9,79.6,0.1,86.66666666666667
Layvin Kurzawa,6.67,79,"D(L), M(L)",11,2,1.5,1,1.0,0.8,0.5,1,0.3,0.6,0.6,24.9,84.4,0.2,91.9090909090909
Yann Karamoh,6.65,75,"AM(R), FW",13,1,0.0,0,0.3,0.1,0.5,3,1.6,2.0,1.2,20.8,77.3,0.9,94.15384615384616
Xeka,6.65,73,M(C),26,0,1.6,0,2.2,1.0,1.4,2,1.3,0.3,0.4,44.7,82.0,0.2,87.07692307692308
Benjamin Jeannot,6.64,72,"AM(R), FW",19,0,3.0,0,0.8,0.6,0.6,2,2.1,0.7,0.5,19.9,72.2,0.0,76.21052631578948
Faitout Maouassa,6.64,69,"D(L), M(L)",25,1,0.7,0,2.0,2.4,0.6,0,0.3,0.9,0.5,24.9,71.2,0.6,85.52
Lucas Evangelista,6.64,75,M(CLR),9,0,1.8,1,2.1,0.4,0.8,1,1.0,0.7,0.3,20.9,76.5,0.2,80.44444444444444
Cédric Yambéré,6.64,70,"D(C), DMC",30,0,2.0,0,1.4,4.0,0.5,0,0.7,0.2,0.1,36.8,83.2,0.0,93.43333333333334
"Kévin Monnet0,00Paquet",6.64,73,"M(CLR), FW",16,1,1.2,1,2.0,1.1,0.7,1,0.9,0.9,0.6,24.3,78.9,0.2,92.6875
François Kamano,6.64,77,"AM(CLR), FW",29,1,0.2,2,0.8,0.1,0.5,10,2.2,1.1,0.9,24.1,81.0,0.1,88.6896551724138
Moussa Doumbia,6.64,71,"AM(CL), FW",18,1,0.6,2,1.0,0.2,1.0,3,1.0,1.2,0.7,21.5,80.0,0.4,88.88888888888889
"Pierre0,00Yves Polomat",6.63,68,"D(L), M(L)",11,2,0.9,0,1.0,0.9,0.4,0,0.3,0.4,0.7,23.7,80.8,0.3,86.27272727272727
Aleksandr Golovin,6.63,79,M(CL),27,3,0.3,2,1.2,0.2,1.1,3,1.6,1.0,0.9,34.0,82.3,0.5,85.22222222222223
John Stiven Mendoza,6.63,71,AM(CLR),22,2,0.4,0,1.2,0.3,1.0,2,1.7,1.6,1.1,23.9,78.1,0.6,85.63636363636364
Moussa Diaby,6.62,70,"M(L), M(L)",10,6,0.1,0,0.6,0.2,0.4,2,0.9,0.8,0.8,20.6,83.3,0.1,113.1
Adrien Hunou,6.62,73,"AM(CLR), FW",14,1,0.6,0,0.6,0.4,0.4,7,1.4,0.2,0.5,15.4,76.8,0.0,88.64285714285714
Danilo,6.61,75,DMC,18,0,0.8,0,1.4,1.0,0.5,0,1.0,1.5,0.5,29.6,85.6,0.0,86.22222222222223
Arnaud Nordin,6.61,70,"AM(LR), AM(LR)",11,1,0.4,1,0.6,0.3,0.3,3,1.6,0.9,0.5,12.1,84.4,0.2,95.27272727272727
Benjamin Corgnet,6.6,72,"M(CLR), FW",6,2,1.3,0,1.2,0.5,0.4,1,1.1,0.5,0.4,15.1,64.8,0.1,111.16666666666667
Rene Krhin,6.6,73,DMC,12,0,2.2,0,1.4,1.9,0.5,0,0.4,0.3,0.1,33.5,83.2,0.0,88.08333333333333
Fabio,6.6,71,"D(LR), M(R)",15,2,1.1,0,2.7,1.2,1.4,0,0.2,0.4,0.8,24.0,76.3,0.6,85.8
Younousse Sankharé,6.59,76,M(C),17,3,0.9,1,1.1,0.2,0.6,1,0.8,1.3,0.8,28.5,76.4,0.0,87.17647058823529
Nicolas de Preville,6.59,69,"AM(CLR), FW",14,2,1.3,0,1.2,0.8,0.9,3,1.4,1.0,1.0,18.4,74.5,0.5,90.71428571428571
Toma Basic,6.59,68,AM(C),16,0,1.3,1,1.4,1.0,0.9,2,0.9,0.8,0.9,24.7,82.4,0.5,83.5
Gabriel Silva,6.59,73,"D(LR), M(L)",16,2,1.6,0,1.0,2.7,0.6,0,0.3,0.5,0.4,22.6,81.1,0.2,89.5625
Lucas Tousart,6.59,79,DMC,20,0,1.2,0,2.5,0.7,1.1,0,0.8,0.3,0.3,32.6,87.3,0.0,86.45
Djibril Sidibé,6.58,79,"D(LR), M(R)",22,2,1.2,0,1.9,1.9,0.8,0,0.7,0.3,1.2,41.6,74.7,0.8,94.18181818181819
Casimir Ninga,6.58,73,"AM(LR), FW",28,3,0.9,1,1.6,0.3,0.9,6,1.6,1.6,0.8,14.2,76.4,0.2,88.42857142857143
Jimmy Durmaz,6.58,75,AM(CLR),21,1,0.3,1,0.9,0.3,0.6,4,1.1,1.4,1.1,30.4,77.0,0.6,90.71428571428571
Gabriel Boschilia,6.57,76,AM(CLR),14,4,0.2,0,1.1,0.2,0.9,4,1.4,0.5,0.9,16.7,80.7,0.6,94.42857142857143
Moussa Konaté,6.57,76,"AM(R), FW",21,2,1.9,1,0.4,0.5,0.4,7,1.8,0.6,0.4,14.0,67.7,0.0,89.61904761904762
Juan Ferney Otero,6.57,72,"AM(R), FW",24,2,1.3,0,0.9,0.5,1.0,2,1.6,1.1,0.8,19.8,74.9,0.6,90.83333333333333
Prince Oniangué,6.57,71,M(C),26,0,1.6,0,1.9,1.3,1.1,2,0.7,0.1,0.2,31.6,83.7,0.1,90.11538461538461
Youssouf Fofana,6.57,61,M(C),10,1,0.3,0,1.6,0.4,1.1,2,0.7,0.9,0.4,19.9,77.9,0.1,91.1
Jordan Marié,6.56,73,DMC,20,1,0.8,0,2.0,1.2,1.4,1,0.6,0.5,0.5,32.7,78.9,0.2,90.25
Lebogang Phiri,6.56,72,DMC,23,0,0.5,0,2.5,0.7,0.8,0,0.5,0.5,0.6,41.6,88.7,0.0,84.0
Jimmy Briand,6.55,76,"M(LR), FW",28,3,1.6,1,0.4,0.7,0.6,7,1.5,0.4,1.0,19.6,73.6,0.1,89.32142857142857
Yannis Salibur,6.54,76,"AM(CLR), FW",9,3,0.4,0,0.4,0.1,0.3,1,1.6,1.2,0.9,13.1,79.3,0.6,98.11111111111111
Myziane Maolida,6.54,71,"AM(L), FW",10,3,0.6,0,0.9,0.4,0.1,0,1.3,1.4,1.4,24.6,81.7,0.1,95.6
Claudio Beauvue,6.54,75,"AM(CLR), FW",16,0,2.8,1,0.7,0.8,0.5,3,1.6,0.4,0.6,13.4,67.0,0.2,93.625
