Name,Rating,Fifa Ability Overall,Position,Apps,Man of the match,Pass success percentage,Avg Minutes Played
Arthur Masuaku,6.9,75,"D(L), M(L)",19,1,83.3,92.52631578947368
Wes Morgan,6.87,75,D(C),21,1,80.8,91.71428571428571
Maya Yoshida,6.85,75,D(CR),17,0,75.7,89.41176470588235
Ashley Westwood,6.8,75,DMC,31,1,76.4,91.03225806451613
Simon Francis,6.77,75,D(CR),13,0,73.3,94.61538461538461
Scott Dann,6.74,75,D(C),7,0,72.7,94.42857142857143
Paul Dummett,6.74,75,D(CL),21,0,71.1,94.61904761904762
Steve Mounie,6.69,75,FW,19,2,64.5,93.57894736842105
Daniel Amartey,6.69,75,"D(R), DMC",7,0,85.2,91.57142857142857
Craig Cathcart,6.66,75,D(CR),35,2,81.5,88.54285714285714
Stephen Ward,6.65,75,D(L),3,0,74.3,76.66666666666667
Martin Kelly,6.63,75,D(CLR),12,0,75.4,92.58333333333333
Christian Fuchs,6.59,75,"D(CL), M(L)",2,0,83.1,103.0
Emerson,6.59,75,"D(L), M(L)",7,0,89.9,94.28571428571429
Mohamed Diamé,6.57,75,M(CLR),24,0,77.2,90.25
Leon Balogun,6.5,75,D(CR),5,0,75.9,118.2
Stuart Armstrong,6.5,75,AM(CL),16,0,78.6,89.5625
Charlie Daniels,6.45,75,"D(L), M(L)",17,0,78.7,93.29411764705883
Alfie Mawson,6.43,75,D(C),13,0,82.4,87.07692307692308
Oumar Niasse,6.43,75,FW,12,0,64.7,78.33333333333333
Rachid Ghezzal,6.43,75,AM(CLR),8,0,79.4,92.375
Ryan Sessegnon,6.42,75,"D(L), M(LR)",26,0,73.4,88.38461538461539
Junior Stanislas,6.4,75,M(CLR),11,0,77.4,93.36363636363636
Tom Davies,6.4,75,M(C),10,0,80.0,97.6
Harry Arter,6.39,75,M(C),24,0,80.7,83.70833333333333
Nampalys Mendy,6.37,75,M(C),23,0,88.8,90.82608695652173
Hélder Costa,6.36,75,AM(CLR),16,0,81.4,84.125
Ivan Cavaleiro,6.35,75,"AM(CLR), FW",6,0,75.5,114.5
Erik Durm,6.33,75,"D(LR), M(LR)",21,0,69.0,97.80952380952381
Andrew Surman,6.33,75,M(CL),16,0,87.0,89.9375
Çaglar Söyüncü,6.32,75,D(C),4,0,83.6,93.0
Jürgen Locadia,6.27,75,"AM(LR), FW",12,0,72.8,102.5
Jeff Hendrick,6.27,75,M(CR),25,1,75.3,82.84
Kelechi Iheanacho,6.22,75,"AM(C), FW",9,0,76.4,103.44444444444444
Laurent Depoitre,6.22,75,FW,10,0,59.9,106.2
Kevin McDonald,6.15,75,M(C),10,0,85.2,84.3
Shinji Okazaki,6.1,75,"AM(CLR), FW",1,0,74.5,271.0
Oumar Niasse,6.06,75,FW,0,0,59.1,
Jasmin Kurtic,7.02,75,M(CL),29,1,86.1,88.3103448275862
Hans Hateboer,6.91,75,"D(R), M(R)",33,1,84.5,90.0909090909091
Danilo DAmbrosio,6.89,75,"D(CLR), M(LR)",29,2,84.6,89.0
Danilo,6.82,75,D(C),35,0,77.2,88.02857142857142
Amin Younes,6.8,75,AM(CL),6,1,90.3,83.0
Simone Missiroli,6.78,75,AM(C),33,1,82.9,83.33333333333333
Manuel Locatelli,6.77,75,M(C),21,1,87.3,88.14285714285714
Luca Cigarini,6.76,75,M(C),20,0,80.0,84.4
Marvin Zeegelaar,6.73,75,"D(L), M(L)",10,0,86.3,95.5
Rolando Mandragora,6.73,75,DMC,33,0,84.4,88.51515151515152
Gian Marco Ferrari,6.72,75,D(C),31,1,86.7,90.0
Francesco Caputo,6.71,75,FW,38,1,77.2,90.0
Lukas Lerager,6.71,75,DMC,13,1,75.2,86.46153846153847
Camillo Ciano,6.71,75,"AM(C), FW",28,2,73.0,87.96428571428571
Danilo Cataldi,6.71,75,M(C),4,0,84.3,143.0
Lorenzo De Silvestri,6.7,75,"D(R), M(R)",30,0,68.0,80.9
Miha Zajc,6.7,75,"AM(C), FW",12,0,82.9,97.08333333333333
Seko Fofana,6.69,75,M(C),31,0,85.2,85.35483870967742
Justin Kluivert,6.66,75,AM(LR),14,0,83.4,95.78571428571429
Alfred Duncan,6.66,75,M(C),21,0,81.6,88.19047619047619
Sandro,6.65,75,M(C),9,0,78.9,79.33333333333333
Alberto Grassi,6.65,75,M(C),5,0,81.0,92.2
Emiliano Moretti,6.63,75,D(CL),22,0,85.6,91.36363636363636
Marko Rog,6.6,75,DMC,4,0,90.8,83.0
Felipe,6.59,75,D(CL),27,0,86.7,87.55555555555556
Matías Silvestre,6.58,75,D(C),34,0,84.4,90.0
Luca Rigoni,6.57,75,M(CR),20,0,80.0,88.2
Andrea Conti,6.56,75,"D(R), M(R)",4,0,83.4,123.75
Filip Helander,6.56,75,D(C),19,0,79.5,90.10526315789474
Ervin Zukanovic,6.55,75,D(CL),22,0,85.0,89.0909090909091
Khouma Babacar,6.53,75,FW,16,1,81.8,93.125
Mirko Valdifiori,6.5,75,DMC,8,0,86.0,83.375
Sandro,6.49,75,M(C),7,0,80.0,85.0
Francesco Magnanelli,6.49,75,DMC,21,1,88.5,88.52380952380952
Goran Pandev,6.47,75,"M(CR), FW",12,1,76.2,93.5
Rick Karsdorp,6.44,75,D(R),7,0,79.1,85.0
Ádám Nagy,6.38,75,DMC,10,0,86.8,97.2
Darwin Machís,6.36,75,AM(L),4,0,80.1,114.25
Nenad Tomovic,6.34,75,D(CLR),9,0,82.4,82.0
Nicolás Spolli,6.29,75,D(C),7,0,87.7,77.14285714285714
Emmanuel Badu,6.22,75,DMC,2,0,84.4,80.5
Mauricio Lemos,5.91,75,D(C),3,0,92.1,60.666666666666664
Ibrahima Konaté,7.19,74,D(C),27,0,76.0,90.03703703703704
William,7.09,74,"D(LR), M(R)",30,1,74.4,89.2
Marc Oliver Kempf,7.01,74,D(C),23,3,81.2,88.08695652173913
Lucas Torró,6.97,74,DMC,6,0,72.0,93.5
Jonathan Schmid,6.93,74,"D(R), M(LR)",28,2,81.1,90.0
Alexander Hack,6.91,74,D(C),11,1,75.6,92.63636363636364
Marcel Tisserand,6.9,74,"D(CLR), M(R)",10,1,78.5,88.8
Jean-Paul Boëtius,6.9,74,"AM(CL), AM(CL)",25,1,77.1,85.2
Janik Haberer,6.89,74,"M(CLR), FW",26,1,79.2,90.11538461538461
Rani Khedira,6.89,74,"D(C), DMC",30,0,81.9,87.56666666666666
Ewerton,6.85,74,D(C),15,0,84.1,89.46666666666667
Weston McKennie,6.82,74,M(C),19,2,72.0,91.89473684210526
Walace,6.73,74,DMC,23,0,84.9,86.8695652173913
Joshua Brenet,6.73,74,"D(LR), M(R)",10,0,82.6,90.5
Yannick Gerhardt,6.69,74,"D(L), M(CL)",28,1,77.8,87.92857142857143
Robin Quaison,6.65,74,"M(CLR), FW",25,1,72.9,88.16
Georg Margreitter,6.63,74,D(C),22,3,81.7,93.5909090909091
Manuel Gulde,6.6,74,D(C),20,1,82.1,85.7
Simon Falette,6.6,74,D(C),7,0,73.8,85.85714285714286
Jacob Bruun Larsen,6.59,74,AM(L),16,0,78.1,79.4375
Suat Serdar,6.58,74,M(C),20,1,71.6,86.85
Claudio Pizarro,6.49,74,"AM(C), FW",3,0,69.9,225.66666666666666
Takashi Usami,6.49,74,AM(LR),10,0,76.1,87.7
Andreas Beck,6.48,74,"D(LR), M(R)",21,0,69.7,84.71428571428571
Abdul Rahman Baba,6.45,74,"D(L), M(L)",2,0,77.8,81.5
Marvin Bakalorz,6.38,74,M(C),16,0,75.8,92.0
Levin Öztunali,6.37,74,AM(CLR),11,0,68.3,84.0
Virgil Misidjan,6.35,74,AM(LR),17,0,74.4,90.88235294117646
Yuya Kubo,6.31,74,"AM(CLR), FW",15,0,73.4,90.86666666666666
Paul Verhaegh,6.23,74,"D(R), M(R)",2,0,81.5,90.0
Marc Stendera,6.18,74,M(C),0,0,83.5,
Emiliano Velázquez,7.05,74,D(C),14,0,69.5,91.07142857142857
Roberto Rosales,7.02,74,"D(R), M(R)",20,1,77.3,87.55
Jonathan Silva,6.89,74,"D(L), M(L)",30,0,71.7,90.0
Nacho,6.87,74,D(LR),35,2,71.0,90.0
Kévin Rodrigues,6.85,74,D(L),5,0,74.6,96.6
Marc Muniesa,6.83,74,D(CL),15,1,80.7,93.53333333333333
Igor Zubeldia,6.81,74,DMC,29,3,85.8,88.0
Dídac Vilá,6.79,74,D(L),27,0,73.2,87.33333333333333
Álex Moreno,6.73,74,"D(L), M(L)",36,1,76.3,87.22222222222223
Míchel,6.71,74,M(CR),27,1,84.7,94.5925925925926
Moi Gómez,6.7,74,M(CLR),35,1,82.8,87.45714285714286
Óscar Plano,6.69,74,"AM(CLR), FW",30,4,76.8,89.9
Luis Advíncula,6.67,74,"D(R), M(R)",27,1,82.2,88.55555555555556
Giannelli Imbula,6.67,74,M(C),21,1,91.3,82.80952380952381
Allan Nyom,6.65,74,"D(LR), M(R)",20,1,75.6,85.6
Nacho,6.64,74,D(CLR),19,0,90.1,89.52631578947368
Óscar Melendo,6.6,74,AM(CR),22,0,85.3,91.18181818181819
José Pozo,6.55,74,AM(C),16,0,83.3,100.75
Rúben Semedo,6.52,74,D(C),9,0,86.7,94.22222222222223
Guilherme Arana,6.52,74,"D(L), M(L)",8,0,84.5,79.125
Federico Valverde,6.51,74,M(CL),6,0,86.3,108.66666666666667
Damián Musto,6.51,74,DMC,20,0,80.4,84.45
Bebé,6.51,74,"AM(LR), FW",13,1,68.1,99.6923076923077
Sanjin Prcic,6.46,74,M(C),6,0,83.0,89.0
Luisinho,6.46,74,"D(L), M(L)",6,0,86.7,84.83333333333333
Antonio Luna,6.45,74,"D(L), M(L)",14,0,73.0,89.92857142857143
Darko Brasanac,6.44,74,M(CR),17,0,79.8,93.05882352941177
Jonás Ramalho,6.38,74,D(CR),18,0,84.1,90.0
Álvaro García,6.34,74,AM(L),17,0,69.2,103.47058823529412
Pedro Bigas,6.32,74,D(CL),7,0,82.4,83.57142857142857
Fran Beltrán,6.3,74,DMC,16,0,91.2,94.5625
Patrick Roberts,6.28,74,AM(R),6,0,82.2,99.33333333333333
Emre Mor,6.27,74,AM(LR),4,0,78.3,91.75
Toni Lato,6.26,74,D(L),3,0,79.4,90.0
Anthony Lozano,6.15,74,Forward,7,0,67.8,103.57142857142857
Serdar Gurler,6.14,74,AM(LR),5,0,67.1,95.8
Bebé,6.02,74,"AM(LR), FW",1,0,87.0,62.0
Ibrahim Sangaré,7.06,74,DMC,27,3,79.6,91.33333333333333
Samuel Kalu,6.97,74,AM(R),14,2,71.8,91.42857142857143
Sanjin Prcic,6.97,74,M(C),12,0,87.5,87.16666666666667
Jacques-Alaixys Romao,6.92,74,"D(C), M(C)",36,2,79.1,87.91666666666667
Abdul Rahman Baba,6.9,74,"D(L), M(L)",11,2,79.7,87.72727272727273
Vincent Manceau,6.89,74,D(LR),31,1,82.2,90.0
Pedro Rebocho,6.87,74,D(L),36,1,79.7,90.0
Adrien Tameze,6.8,74,M(C),34,0,89.1,86.79411764705883
Hamari Traoré,6.77,74,"D(R), M(R)",33,0,82.5,90.0909090909091
Ambroise Oyongo,6.77,74,"D(LR), M(L)",25,0,70.7,85.64
Jordan Ferri,6.74,74,M(C),21,1,82.1,89.38095238095238
Nicolas Benezet,6.74,74,AM(CLR),18,3,74.9,92.61111111111111
Valentin Rosier,6.74,74,"D(LR), M(L)",16,1,83.8,91.125
Aurelien Tchouameni,6.73,74,DMC,8,0,80.3,88.25
Adama Soumaoro,6.73,74,D(CR),20,0,94.3,86.5
Mateo Pavlovic,6.71,74,D(C),28,0,86.2,88.96428571428571
Saman Ghoddos,6.69,74,"AM(L), FW",20,2,72.8,91.65
Angelo Fulgini,6.67,74,AM(CR),18,2,77.5,90.94444444444444
Duje Caleta-Car,6.65,74,"D(C), D(C)",17,0,84.5,90.94117647058823
Edgar Ié,6.58,74,D(CR),9,0,78.5,86.44444444444444
Majeed Waris,6.54,74,"AM(LR), FW",25,0,75.2,90.24
Khaled Adénon,6.51,74,D(C),22,0,86.2,90.72727272727273
Enzo Crivelli,6.5,74,FW,28,0,64.8,81.17857142857143
Emil Krafth,6.49,74,D(R),33,0,73.4,90.0909090909091
Suk Hyun-Jun,6.47,74,"FW, FW",7,0,51.9,112.14285714285714
Clinton NJie,6.43,74,"AM(L), FW",3,0,72.3,117.66666666666667
Stéphane Mbia,6.42,74,"D(C), M(C)",5,0,89.8,89.4
Luiz Araújo,6.41,74,AM(LR),6,0,78.8,128.0
Edgar Ié,6.35,74,D(CR),1,0,82.0,234.0
William Vainqueur,6.33,74,DMC,1,0,90.6,79.0
Jordan Ferri,6.32,74,M(C),1,0,89.9,114.0
Samuel Grandsir,6.21,74,AM(LR),4,0,66.2,116.5
Firmin Mubele,6.2,74,"AM(R), FW",4,0,82.5,115.0
Samuel Grandsir,6.2,74,AM(LR),2,0,74.3,117.0
Koffi Djidji,6.1,74,D(CL),1,0,83.3,90.0
Yoann Gourcuff,6.08,74,M(CL),0,0,84.4,
Keagan Dolly,6.07,74,AM(CL),2,0,83.8,44.5
Aaron Wan-Bissaka,7.27,74,"D(R), D(R)",35,3,73.0,89.57142857142857
Sean Morrison,6.96,74,D(C),34,1,62.8,89.41176470588235
Romain Saïss,6.93,74,"D(C), DMC",12,2,77.1,95.41666666666667
Calum Chambers,6.82,74,"D(CR), DMC",29,0,79.0,89.20689655172414
Ben Gibson,6.78,74,D(CL),1,0,66.7,63.0
Charlie Taylor,6.75,74,"D(L), M(L)",35,0,72.5,92.57142857142857
Maxime Le Marchand,6.72,74,D(CL),25,0,83.3,90.08
Dan Gosling,6.69,74,M(C),19,0,79.6,91.47368421052632
André-Frank Zambo Anguissa,6.69,74,"DMC, DMC",16,0,87.4,94.9375
Adam Masina,6.66,74,"D(L), M(L)",11,0,80.7,91.27272727272727
Joe Bryan,6.65,74,"D(L), M(CL)",27,0,75.4,86.92592592592592
Dominic Calvert-Lewin,6.61,74,"AM(L), FW",19,0,61.7,93.47368421052632
Adrian Mariappa,6.6,74,D(CR),20,1,82.3,96.2
Javier Manquillo,6.59,74,"D(LR), M(R)",12,0,69.9,91.66666666666667
Danny Simpson,6.58,74,D(R),3,0,70.9,97.0
Jack Stephens,6.52,74,D(C),19,1,75.0,89.42105263157895
Alex Pritchard,6.51,74,AM(CLR),26,0,74.9,80.46153846153847
David Junior Hoilett,6.46,74,"M(CLR), FW",23,0,71.6,93.17391304347827
Joe Ralls,6.45,74,"DMC, M(L)",22,0,69.2,89.0909090909091
Steven Davis,6.45,74,M(CLR),1,0,94.1,97.0
Conor Coady,6.45,74,"D(CR), DMC",38,1,84.3,90.0
Christian Atsu,6.44,74,AM(CLR),15,0,82.2,99.2
Greg Cunningham,6.43,74,"D(CL), M(L)",7,0,73.7,90.0
Joselu,6.41,74,FW,5,0,62.0,117.4
Florent Hadergjonaj,6.4,74,"D(R), M(R)",19,0,75.2,96.89473684210526
Timothy Fosu-Mensah,6.33,74,"D(CR), D(CR)",10,0,81.5,79.5
Jordon Ibe,6.33,74,M(CLR),9,0,78.0,88.44444444444444
Gaëtan Bong,6.31,74,D(L),19,0,74.3,95.0
Ramadan Sobhi,6.18,74,AM(CL),0,0,86.0,
Matej Vydra,6.17,74,"AM(CL), FW",3,0,64.4,104.33333333333333
Marc Navarro,6.15,74,D(R),1,0,82.6,85.0
Miguel Britos,6.12,74,D(CL),2,0,79.7,92.5
Stefan Johansen,6.03,74,M(C),4,0,79.7,103.0
Stefano Okaka,7.04,74,FW,11,1,71.6,88.36363636363636
Nikola Milenkovic,6.94,74,D(CR),34,2,79.9,88.52941176470588
Federico Santander,6.92,74,FW,23,5,60.8,89.69565217391305
Koffi Djidji,6.87,74,D(CL),16,1,82.9,86.75
Ignacio Pussetto,6.86,74,"AM(CLR), FW",24,3,69.3,90.91666666666667
Joachim Andersen,6.84,74,D(C),32,0,88.8,90.0
Luiz Felipe,6.81,74,D(C),15,1,84.3,86.13333333333334
Pol Lirola,6.78,74,"D(R), M(R)",32,0,78.8,93.0
Bartosz Bereszynski,6.69,74,D(R),24,0,83.9,91.625
Darko Lazovic,6.68,74,M(LR),30,1,74.4,85.0
Bram Nuytinck,6.67,74,D(C),24,1,81.7,88.66666666666667
Joel Obi,6.67,74,M(CR),9,0,84.9,74.0
Riccardo Meggiorini,6.65,74,FW,18,1,64.7,86.11111111111111
Artur Ionita,6.64,74,AM(C),34,1,83.3,87.61764705882354
Edoardo Goldaniga,6.62,74,D(C),29,1,75.3,90.0
Vincent Laurini,6.52,74,D(R),10,0,79.8,92.1
Sergio Floccari,6.49,74,FW,11,1,79.1,88.63636363636364
Filip Djuricic,6.46,74,"AM(CLR), FW",16,1,83.5,78.8125
Jonathan Biabiany,6.44,74,"M(LR), FW",12,0,72.9,89.08333333333333
Lorenzo Crisetig,6.42,74,M(C),5,0,85.6,101.0
Bryan Dabo,6.4,74,"D(R), M(CR)",6,0,80.3,137.0
Manuel Pasqual,6.36,74,"D(L), M(L)",13,0,73.1,103.0
Nicola Rigoni,6.3,74,DMC,23,0,80.5,85.1304347826087
Diego Falcinelli,6.25,74,FW,8,0,83.7,88.375
Marco Andreolli,6.23,74,D(C),7,0,77.9,92.28571428571429
Amato Ciciretti,6.2,74,AM(R),1,0,72.6,136.0
Antonio Di Gaudio,6.15,74,AM(L),9,0,60.4,78.22222222222223
Marco Andreolli,6.07,74,D(C),1,0,90.3,104.0
Manuel Pucciarelli,6.02,74,FW,3,0,77.2,99.66666666666667
Marko Grujic,7.26,73,DMC,20,3,81.9,89.0
Valentino Lazaro,7.0,73,"D(R), M(CLR)",31,1,76.3,88.48387096774194
Jean-Philippe Mateta,6.93,73,FW,29,3,71.2,86.03448275862068
Markus Suttner,6.89,73,"D(L), M(L)",6,0,77.3,81.83333333333333
André Hahn,6.87,73,"AM(R), FW",21,1,57.8,97.61904761904762
Giulio Donati,6.85,73,"D(R), M(R)",6,0,76.4,104.5
Dodi Lukébakio,6.82,73,"AM(R), FW",22,2,75.8,89.9090909090909
Gian-Luca Waldschmidt,6.75,73,"AM(CR), FW",16,2,81.0,107.4375
Niko Gießelmann,6.75,73,"D(CL), M(L)",29,0,74.4,89.41379310344827
Benito Raman,6.74,73,"AM(LR), FW",19,3,70.3,88.36842105263158
Rouwen Hennings,6.68,73,FW,19,0,66.4,96.42105263157895
Moussa Niakhaté,6.66,73,D(C),32,0,82.5,87.1875
Arne Maier,6.65,73,DMC,23,0,86.7,89.95652173913044
Marco Russ,6.61,73,"D(C), DMC",3,0,71.8,126.0
Niko Bungert,6.61,73,D(C),3,0,87.3,95.0
Kasim Adams,6.6,73,D(C),11,0,80.3,82.36363636363636
Tim Leibold,6.55,73,"D(L), M(CL)",32,0,78.0,86.5
Gaëtan Bussmann,6.55,73,D(L),1,0,73.9,90.0
Mike Frantz,6.54,73,"M(CLR), FW",29,0,78.2,77.0
Steven Skrzybski,6.52,73,"AM(CLR), FW",8,1,70.2,83.5
Oliver Sorg,6.52,73,"D(CLR), DMC, M(R)",18,0,75.5,87.94444444444444
Kevin Möhwald,6.5,73,AM(CR),7,0,81.7,123.28571428571429
Anastasios Donis,6.45,73,"AM(CR), FW",11,2,80.1,87.36363636363636
Marcin Kaminski,6.44,73,D(C),27,0,84.0,90.0
Mikael Ishak,6.44,73,FW,22,0,69.9,87.27272727272727
Anthony Ujah,6.43,73,FW,6,1,66.1,120.66666666666667
Iver Fossum,6.37,73,M(C),5,0,81.7,90.6
Alexandru Maxim,6.36,73,AM(CL),3,0,83.1,188.33333333333334
Bobby Wood,6.33,73,"AM(C), FW",12,0,78.7,98.83333333333333
Derrick Luckassen,6.31,73,"D(CR), DMC",2,0,89.7,124.0
Chadrac Akolo,6.22,73,AM(CR),5,0,76.5,104.6
Josip Elez,6.19,73,D(C),7,0,78.1,92.42857142857143
Julian Schieber,6.12,73,FW,3,0,72.7,86.0
Rubén Alcaraz,6.89,73,DMC,34,2,83.6,87.58823529411765
Pape Diop,6.85,73,M(C),27,0,73.2,87.25925925925925
Toni Villa,6.8,73,AM(L),21,1,78.0,84.47619047619048
Abdoulaye Ba,6.78,73,D(C),25,1,82.4,84.52
Fernando Calero,6.73,73,D(C),35,1,83.6,89.42857142857143
Pablo Hervías,6.69,73,Midfielder,2,0,80.9,90.0
Xabier Etxeita,6.69,73,D(C),30,1,75.2,89.26666666666667
Manu García,6.68,73,DMC,25,0,74.3,93.08
Moussa Wague,6.65,73,D(R),2,0,87.4,112.5
Santiago Cáseres,6.6,73,DMC,17,0,90.8,93.52941176470588
Douglas Luiz,6.58,73,M(C),16,0,84.5,92.9375
Ander Barrenetxea,6.56,73,Forward,5,1,78.1,79.8
Ferrán Torres,6.51,73,M(R),8,0,77.7,105.375
Ignasi Miquel,6.47,73,D(C),4,0,54.9,79.25
Álex Gallar,6.47,73,AM(R),10,1,74.7,100.4
Diego Lainez,6.35,73,Midfielder,3,0,86.2,116.66666666666667
Pablo Hervías,6.32,73,Midfielder,2,0,86.5,80.5
Michael Santos,6.3,73,FW,5,0,73.4,110.6
Manuel Iturra,6.1,73,DMC,1,0,83.3,73.0
Cheick Doukouré,6.04,73,DMC,3,0,74.3,105.0
Youcef Atal,7.48,73,"D(R), M(R)",25,8,83.6,90.44
Jonathan Bamba,7.02,73,"AM(LR), FW",35,3,79.6,86.02857142857142
Pablo Martinez,6.98,73,D(CL),32,2,84.2,88.0625
Jonathan Ikoné,6.82,73,AM(CLR),34,0,73.8,82.79411764705883
Fouad Chafik,6.77,73,"D(LR), M(R)",21,0,74.7,88.28571428571429
Jules Koundé,6.75,73,D(C),37,0,80.7,90.0
Sada Thioub,6.73,73,AM(R),27,1,78.4,91.92592592592592
Thomas Foket,6.73,73,"D(R), M(R)",32,0,76.6,90.0
Maxime Poundjé,6.72,73,D(L),28,0,80.1,90.57142857142857
Matt Miazga,6.71,73,D(C),8,0,81.0,90.0
Martin Terrier,6.7,73,"AM(L), FW",16,2,84.2,92.5625
Xeka,6.65,73,M(C),26,0,82.0,87.07692307692308
Kévin Monnet-Paquet,6.64,73,"M(CLR), FW",16,1,78.9,92.6875
Adrien Hunou,6.62,73,"AM(CLR), FW",14,0,76.8,88.64285714285714
Rene Krhin,6.6,73,DMC,12,0,83.2,88.08333333333333
Gabriel Silva,6.59,73,"D(LR), M(L)",16,0,81.1,89.5625
Casimir Ninga,6.58,73,"AM(LR), FW",28,1,76.4,88.42857142857143
Jordan Marié,6.56,73,DMC,20,0,78.9,90.25
Bakaye Dibassy,6.55,73,D(CL),32,0,77.4,91.90625
Yaya Sanogo,6.53,73,FW,13,1,63.7,95.61538461538461
Wesley Said,6.51,73,"AM(CLR), FW",25,1,74.5,90.44
Lamine Koné,6.51,73,D(C),23,0,84.2,93.3913043478261
Jérémy Sorbon,6.5,73,D(C),29,0,84.2,91.17241379310344
Lois Diony,6.49,73,"AM(L), FW",19,0,66.6,84.10526315789474
Jérémy Pied,6.48,73,"D(LR), M(CLR)",4,1,78.1,115.5
Vincent Pajot,6.43,73,M(C),10,0,85.1,72.1
Stef Peeters,6.41,73,M(C),5,0,81.9,81.8
Jakob Johansson,6.41,73,DMC,7,1,87.0,101.28571428571429
Manu García,6.4,73,M(CL),21,0,80.0,88.0952380952381
Valentín Vada,6.4,73,"M(C), M(C)",3,0,86.0,133.0
Jeremy Gelin,6.39,73,"D(C), DMC",12,0,87.0,105.83333333333333
Romain Genevois,6.32,73,D(CR),5,0,83.2,71.6
Ludovic Baal,6.32,73,"D(L), M(L)",1,0,77.0,125.0
Jordan Ikoko,6.29,73,D(LR),19,0,73.5,89.84210526315789
Grégory Sertic,6.14,73,"D(C), M(C)",1,0,77.0,107.0
Nemanja Radonjic,6.07,73,AM(L),7,0,70.1,96.57142857142857
Harrison Manzala,5.98,73,AM(L),0,0,58.3,
Declan Rice,6.93,73,"D(C), DMC",34,2,86.4,88.38235294117646
Kevin Long,6.92,73,D(C),5,0,81.0,102.6
Sean Longstaff,6.86,73,M(C),8,0,80.9,86.0
David Brooks,6.83,73,AM(CR),29,1,73.1,78.55172413793103
Solly March,6.79,73,M(CLR),30,0,70.6,82.5
Ryan Bennett,6.77,73,D(C),34,0,79.6,90.0
Ryan Fredericks,6.76,73,"D(R), M(R)",12,1,70.9,90.5
Joel Ward,6.74,73,"D(LR), DMC, M(R)",6,0,72.6,91.83333333333333
Jeffrey Schlupp,6.66,73,"D(L), M(CL)",18,1,75.9,92.61111111111111
Aron Gunnarsson,6.61,73,M(C),27,0,71.6,84.25925925925925
Samir Nasri,6.53,73,M(CLR),3,0,88.4,82.0
Phil Foden,6.52,73,M(C),3,0,86.6,110.0
Shane Long,6.5,73,"AM(R), FW",12,1,64.6,105.91666666666667
Ademola Lookman,6.47,73,"AM(CLR), FW",3,0,84.6,200.66666666666666
Bobby De Cordova-Reid,6.41,73,"M(C), FW",16,1,71.4,88.9375
Chris Löwe,6.35,73,"D(L), M(L)",23,0,75.1,89.43478260869566
Isaac Success,6.32,73,"AM(LR), FW",9,0,71.3,115.44444444444444
Tim Ream,6.3,73,"D(CL), DMC",25,0,87.9,82.04
Danny Ward,6.29,73,"AM(CL), FW",4,0,54.3,110.0
Tommy Smith,6.24,73,D(CR),13,0,74.8,87.84615384615384
Léo Bonatini,6.13,73,FW,0,0,78.9,
Adama Diakhaby,6.08,73,"AM(LR), FW",6,0,76.2,92.16666666666667
Diego Farias,6.97,73,"AM(CLR), FW",16,0,81.2,75.25
Samir,6.93,73,D(CL),21,0,81.6,85.71428571428571
Rade Krunic,6.91,73,AM(C),33,2,80.8,84.36363636363636
Riccardo Orsolini,6.87,73,AM(R),19,2,69.4,103.0
Fabrizio Cacciatore,6.82,73,D(LR),7,0,80.6,83.42857142857143
Gianluca Caprari,6.76,73,"AM(CLR), FW",12,2,82.2,86.16666666666667
Francesco Vicari,6.72,73,D(C),26,1,88.3,89.96153846153847
Ibrahima Mbaye,6.72,73,"D(LR), M(LR)",22,0,78.5,91.31818181818181
Edgar Barreto,6.71,73,M(C),9,0,81.3,87.11111111111111
Federico Mattiello,6.71,73,M(LR),16,0,76.6,83.375
Gerson,6.69,73,AM(CLR),27,0,82.5,90.18518518518519
William Troost-Ekong,6.68,73,"D(C), D(C)",35,0,81.5,87.62857142857143
Marlon Santos,6.64,73,D(C),18,1,93.6,83.94444444444444
Pasquale Schiattarella,6.59,73,"DMC, M(R)",20,0,86.8,92.15
Jens Stryger Larsen,6.54,73,"D(CLR), M(R)",36,0,79.6,89.88888888888889
Adam Ounas,6.53,73,AM(CLR),6,1,83.4,89.0
Federico Barba,6.52,73,D(CL),29,0,80.6,85.82758620689656
Bostjan Cesar,6.52,73,D(C),11,0,84.1,97.9090909090909
Johan Djourou,6.51,73,D(C),3,0,90.3,93.0
Daniel Ciofani,6.5,73,FW,17,0,66.8,95.94117647058823
Oscar Hiljemark,6.49,73,AM(C),15,0,81.5,80.13333333333334
Fabrizio Cacciatore,6.49,73,D(LR),5,0,77.8,99.4
Miguel Veloso,6.49,73,M(C),14,0,79.5,89.92857142857143
Molla Wagué,6.49,73,D(C),1,0,87.8,94.0
Ezequiel Schelotto,6.43,73,"D(R), M(LR)",2,0,65.3,71.5
Sasa Lukic,6.43,73,DMC,11,0,87.9,89.27272727272727
Afriyie Acquah,6.42,73,DMC,19,1,82.2,79.6842105263158
Mariusz Stepinski,6.35,73,FW,27,0,75.3,91.70370370370371
Diego Farias,6.35,73,"AM(CLR), FW",7,0,81.0,100.0
Marcello Gazzola,6.32,73,"D(R), M(R)",9,0,64.9,101.66666666666667
Antonin Barak,6.19,73,AM(C),4,0,84.5,82.25
Federico Dionisi,6.18,73,"AM(L), FW",1,0,71.2,197.0
Luca Mazzitelli,6.18,73,DMC,3,0,75.7,106.66666666666667
