Name,Rating,Fifa Ability Overall,Position,Apps,Aerials Won per game,Man of the match,Tackles,Clearances per game,Passes per game,Pass success percentage,Unnamed: 32,Avg Minutes Played
Kevin Danso,6.68,70,D(C),13.0,2.7,1.0,1.4,4.0,33.2,74.4,,96.07692307692308
Benjamin Stambouli,6.68,79,"D(C), M(C)",20.0,0.9,0.0,2.4,2.9,46.3,76.7,,88.15
Nicolas Höfler,6.67,72,"D(C), DMC",18.0,1.2,0.0,2.5,2.2,48.8,86.2,,89.77777777777777
Rafinha,6.67,82,"D(CLR), M(R)",9.0,0.4,0.0,0.9,0.6,49.5,93.3,,99.66666666666667
Moussa Niakhaté,6.66,73,D(C),32.0,2.1,0.0,1.5,4.1,45.3,82.5,,87.1875
Marcel Schmelzer,6.65,77,"D(CL), M(L)",7.0,1.0,0.0,1.0,1.2,37.8,84.9,,80.85714285714286
Fabian Lustenberger,6.65,76,"D(C), M(C)",24.0,1.8,1.0,1.6,3.6,45.8,86.3,,90.45833333333333
Raphael Framberger,6.64,67,D(R),6.0,1.1,0.0,1.1,1.6,26.4,63.2,,91.16666666666667
Michael Lang,6.64,77,"D(R), M(R)",15.0,1.2,0.0,0.8,2.2,38.5,83.6,,84.13333333333334
Georg Margreitter,6.63,74,D(C),22.0,2.3,3.0,1.4,5.1,44.8,81.7,,93.5909090909091
Daniel Brosinski,6.63,76,"D(LR), M(LR)",26.0,0.9,1.0,1.0,1.9,36.2,74.2,,84.84615384615384
"Gian0,00Luca Itter",6.63,67,"D(L), D(L)",1.0,1.0,0.0,2.0,1.0,21.5,88.4,,93.0
Karim Rekik,6.62,79,D(CL),24.0,2.0,0.0,1.5,3.6,48.5,88.6,,86.25
Eduard Löwen,6.62,70,"D(C), M(C)",17.0,0.9,1.0,1.4,0.8,31.7,75.3,,95.41176470588235
Sebastian Langkamp,6.62,76,D(C),15.0,2.0,0.0,1.1,3.7,46.0,88.5,,94.06666666666666
Marco Russ,6.61,73,"D(C), DMC",3.0,3.2,0.0,1.4,1.6,22.0,71.8,,126.0
Konstantinos Stafylidis,6.61,75,"D(L), DMC, M(L)",11.0,0.6,0.0,1.8,2.2,36.8,80.3,,83.81818181818181
Robin Koch,6.61,72,"D(C), DMC",21.0,2.7,0.0,1.0,3.1,36.8,82.4,,90.42857142857143
Niko Bungert,6.61,73,D(C),3.0,1.4,0.0,1.0,2.3,15.7,87.3,,95.0
Manuel Gulde,6.6,74,D(C),20.0,1.6,1.0,1.1,4.2,41.6,82.1,,85.7
Simon Falette,6.6,74,D(C),7.0,2.9,0.0,1.3,4.6,41.4,73.8,,85.85714285714286
Kasim Adams,6.6,73,D(C),11.0,2.3,0.0,1.5,3.2,40.9,80.3,,82.36363636363636
Milos Veljkovic,6.6,76,"D(C), DMC",21.0,2.2,1.0,1.6,4.6,53.7,84.7,,89.42857142857143
Felipe,6.6,75,D(C),14.0,1.8,0.0,1.4,4.1,29.1,74.7,,78.42857142857143
Christian Günter,6.59,75,"D(L), M(L)",32.0,0.3,0.0,1.2,1.2,30.2,76.6,,90.0
Pascal Stenzel,6.59,72,"D(R), M(R)",16.0,1.1,1.0,2.0,2.1,35.0,81.9,,90.8125
Carlos Salcedo,6.58,76,D(CR),6.0,2.2,0.0,1.2,3.3,44.2,80.0,,76.83333333333333
Keven Schlotterbeck,6.58,58,D(C),8.0,1.4,0.0,2.4,2.8,49.7,86.8,,96.5
Adam Bodzek,6.57,69,"D(C), DMC",20.0,1.7,0.0,2.1,1.9,32.8,84.0,,80.2
Matija Nastasic,6.57,81,D(C),28.0,2.2,0.0,1.3,4.0,44.2,82.2,,87.53571428571429
Borna Sosa,6.56,69,D(L),7.0,0.9,0.0,1.1,2.3,23.5,73.8,,87.57142857142857
Tim Leibold,6.55,73,"D(L), M(CL)",32.0,1.1,0.0,1.9,1.6,38.8,78.0,,86.5
Gaëtan Bussmann,6.55,73,D(L),1.0,6.0,0.0,2.0,2.0,46.0,73.9,,90.0
Andre Hoffmann,6.55,72,"D(C), DMC",11.0,1.7,0.0,1.7,3.2,37.9,87.4,,95.18181818181819
Ondrej Petrák,6.54,70,"D(C), DMC",18.0,2.0,0.0,1.6,1.0,32.2,85.5,,90.22222222222223
Kevin Vogt,6.54,81,"D(CR), M(C)",28.0,1.3,0.0,0.9,3.6,66.1,89.3,,85.53571428571429
Pablo Maffeo,6.53,78,"D(R), M(R)",8.0,1.0,0.0,1.8,1.0,26.5,76.4,,75.25
Pablo De Blasis,6.53,75,"D(R), M(CLR)",1.0,2.0,0.0,2.0,0.0,28.0,60.7,,90.0
Tin Jedvaj,6.52,76,D(CLR),13.0,1.4,0.0,1.4,3.1,38.9,79.6,,86.3076923076923
Oliver Sorg,6.52,73,"D(CLR), DMC, M(R)",18.0,0.5,0.0,2.2,2.3,38.3,75.5,,87.94444444444444
